Unnamed: 0,Star_name,Distance,Mass,Radius,radius,Gravity
405,WISE 1746-0338,28.7,30,,1.18,5909.27524
406,WISE 1800+0134,30,57,,1.18,11227.62296
407,WISE 1804+3117,74.4,30,,1.18,5909.27524
408,WISE 1809+3838,47,30,,1.18,5909.27524
409,WISE 1812+2721,36,30,,1.18,5909.27524
410,WISE 1828+2650,107,30,,1.18,5909.27524
411,WISE 1830+4542,131.1,30,,1.18,5909.27524
412,WISE 1841+7000,55.4,30,,1.18,5909.27524
413,WISE 1852+3537,51.5,30,,1.18,5909.27524
414,WISE 1906+4508,22.8,30,,1.18,5909.27524
415,WISE 1928+2356,44.4,30,,1.18,5909.27524
416,WISE 1952+7240,37.2,30,,1.18,5909.27524
417,WISE 1959-3338,34.2,30,,1.18,5909.27524
418,WISE 2030+0749,96.2,30,,1.18,5909.27524
419,WISE 2014+0424,50.6,30,,1.18,5909.27524
420,WISE 2015+6646,47.9,30,,1.18,5909.27524
421,WISE 2018-7423,42.4,30,,1.18,5909.27524
422,WISE 2019-1148,24.5,30,,1.18,5909.27524
423,WISE 2056+1459,42.7,30,,1.18,5909.27524
424,WISE 2134-7137,61.6,30,,1.18,5909.27524
425,WISE 2157+2659,46,30,,1.18,5909.27524
426,WISE 2209-2734,58.7,30,,1.18,5909.27524
427,WISE 2213+0911,26.4,30,,1.18,5909.27524
428,WISE 2220-3628,45,30,,1.18,5909.27524
429,WISE 2226+0440,53.5,30,,1.18,5909.27524
430,WISE 2237-0614,46,30,,1.18,5909.27524
431,WISE 2237+7228,59.7,30,,1.18,5909.27524
432,WISE 2239+1617,44.7,30,,1.18,5909.27524
433,WISE 2255-3118,60.7,30,,1.18,5909.27524
434,WISE 2301+0216,35.9,30,,1.18,5909.27524
435,WISE 2313-8037,52.2,30,,1.18,5909.27524
436,WISE 2319-1844,37.5,30,,1.18,5909.27524
437,WISE 2325-4105,70.8,30,,1.18,5909.27524
438,WISE 2327-2730,90.3,30,,1.18,5909.27524
439,WISE 2335+4222,37.8,30,,1.18,5909.27524
440,WISE 2340-0745,51.2,30,,1.18,5909.27524
441,WISE 2342+0856,48.6,30,,1.18,5909.27524
442,WISE 2343-7418,46,30,,1.18,5909.27524
443,WISE 2344+1034,54.1,30,,1.18,5909.27524
444,WISE 2348-1028,54.8,30,,1.18,5909.27524
445,WISE 2357+1227,42.7,30,,1.18,5909.27524
446,WISE 2359-7335,111,30,,1.18,5909.27524
447,WISEA 1101+5400,120,30,,1.18,5909.27524
448,2M1510,,30,,1.18,1.44E-09
